Gene	rsID	Chr	Position	Type	Function
ABL1	rs2537808137	9	9:130887193	del	3_prime_UTR_variant
ABL1	rs2533583518	9	9:130724765	delins	intron_variant,genic_upstream_transcript_variant
ABL2	rs2527552568	1	1:179229676	delins	non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
ABL2	rs2527552525	1	1:179229668	del	upstream_transcript_variant,2KB_upstream_variant,non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
ABRAXAS1	rs2530230799	4	4:83462080	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
ABRAXAS1	rs2530230786	4	4:83462068	delins	3_prime_UTR_variant,genic_downstream_transcript_variant
ACVR1	rs2468182175	2	2:157876299	delins	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
ACVR1	rs2468181921	2	2:157876223	delins	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
ACVR1B	rs2540311293	12	12:51997002	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
ACVR1B	rs2540310983	12	12:51996907	delins	3_prime_UTR_variant,genic_downstream_transcript_variant
ADGRA2	rs2487571231	8	8:37844890	snv	missense_variant,coding_sequence_variant,3_prime_UTR_variant
ADGRA2	rs2487571225	8	8:37844889	snv	missense_variant,coding_sequence_variant,3_prime_UTR_variant
AKT1	rs2549545734	14	14:104777418	del	intron_variant
AKT1	rs2542249082	14	14:104795727	snv	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
AKT2	rs2514470954	19	19:40285344	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
AKT2	rs2514470938	19	19:40285340	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
AKT3	rs2529556782	1	1:243564869	snv	genic_downstream_transcript_variant,intron_variant
AKT3	rs2529555780	1	1:243564781	delins	genic_downstream_transcript_variant,intron_variant
ALK	rs2524608128	2	2:29297466	del	genic_upstream_transcript_variant,intron_variant
ALK	rs2521684728	2	2:29217104	snv	genic_downstream_transcript_variant,intron_variant
AMER1	rs2546443979	X	X:64200040	delins	intron_variant
AMER1	rs2521257759	X	X:64205636	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
APC	rs2533908510	5	5:112846225	snv	3_prime_UTR_variant
APC	rs2533908344	5	5:112846214	snv	3_prime_UTR_variant
AR	rs2543959729	X	X:67728505	del	3_prime_UTR_variant,genic_downstream_transcript_variant
AR	rs2526909407	X	X:67620433	del	intron_variant
ARAF	rs2519682884	X	X:47571904	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
ARAF	rs2519682856	X	X:47571874	snv	downstream_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant,500B_downstream_variant
ARFRP1	rs2526036107	20	20:63701998	del	intron_variant
ARFRP1	rs2526035947	20	20:63701997	delins	intron_variant
ARHGAP26	rs2550919760	5	5:142905816	snv	intron_variant,genic_upstream_transcript_variant
ARHGAP26	rs2540496383	5	5:143229005	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
ARID1A	rs2525896249	1	1:26763826	snv	intron_variant
ARID1A	rs2525896110	1	1:26763792	del	intron_variant
ARID1B	rs2548622535	6	6:157174816	del	intron_variant
